"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"Conn_01x23_Female","desc","J1,","PinSocket_1x23_P2.54mm_Vertical_SMD_Pin1Right","libref","23","1","","",
"Conn_01x23_Female","desc","J2,","PinHeader_1x23_P2.54mm_Vertical_SMD_Pin1Left","libref","23","1","","",
"Conn_01x07_Female","desc","J3,","JST_PH_S7B-PH-SM4-TB_1x07-1MP_P2.00mm_Horizontal","libref","9","1","","",
"Conn_01x04_Male","desc","J5,","JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal","libref","6","1","","",
